id,text,class,language
102,Le bruit dans cette image lui donne un aspect pixelisé. Pouvez-vous le réparer ?,noise,fr
103,El ruido en esta imagen hace que parezca pixelada. ¿Puedes arreglarlo?,noise,es
104,Das Rauschen in diesem Bild lässt es pixelig aussehen. Können Sie es reparieren?,noise,de
105,Door de ruis in deze afbeelding ziet deze er korrelig uit. Kun je het repareren?,noise,nl
106,The haze is dulling the sharpness in this picture. Could you enhance it for me?,haze,en
107,La brume atténue la netteté de cette image. Pourriez-vous l'améliorer pour moi ?,haze,fr
108,La neblina está opacando la nitidez de esta imagen. ¿Podrías mejorarlo por mí?,haze,es
109,Der Dunst schwächt die Schärfe dieses Bildes. Könnten Sie es für mich verbessern?,haze,de
110,De nevel vervaagt de scherpte op deze foto. Kunt u het voor mij verbeteren?,haze,nl
111,Can you remove the blur from this photo and make it more focused?,blur,en
112,Pouvez-vous supprimer le flou de cette photo et la rendre plus ciblée ?,blur,fr
113,¿Puedes eliminar el desenfoque de esta foto y hacerla más enfocada?,blur,es
114,Können Sie die Unschärfe aus diesem Foto entfernen und es fokussierter machen?,blur,de
115,Kun jij de onscherpte uit deze foto verwijderen en scherper maken?,blur,nl
116,Could you improve the lighting and brightness in this photo?,LLIE,en
117,Pourriez-vous améliorer l'éclairage et la luminosité de cette photo ?,LLIE,fr
118,¿Podrías mejorar la iluminación y el brillo de esta foto?,LLIE,es
119,Könnten Sie die Beleuchtung und Helligkeit in diesem Foto verbessern?,LLIE,de
120,Kunt u de belichting en helderheid op deze foto verbeteren?,LLIE,nl
121,The graininess is too strong in this photo. Could you smooth it out?,noise,en
122,Le grain est trop fort sur cette photo. Pourriez-vous le lisser ?,noise,fr
123,La granulosidad es demasiado fuerte en esta foto. ¿Podrías suavizarlo?,noise,es
124,Die Körnigkeit ist auf diesem Foto zu stark. Könnten Sie es glätten?,noise,de
125,De korreligheid is te sterk op deze foto. Zou je het kunnen gladstrijken?,noise,nl
126,Can you remove the atmospheric haze in this photo to make it more vivid?,haze,en
127,Pouvez-vous supprimer la brume atmosphérique de cette photo pour la rendre plus vivante ?,haze,fr
128,¿Puedes eliminar la neblina atmosférica en esta foto para hacerla más vívida?,haze,es
129,"Können Sie den atmosphärischen Dunst in diesem Foto entfernen, um es lebendiger zu machen?",haze,de
130,Kun jij de atmosferische waas op deze foto verwijderen om deze levendiger te maken?,haze,nl
131,Please make this image look smoother and less noisy for my project.,noise,en
132,Veuillez rendre cette image plus lisse et moins bruyante pour mon projet.,noise,fr
133,Haga que esta imagen se vea más suave y menos ruidosa para mi proyecto.,noise,es
134,"Bitte sorgen Sie dafür, dass dieses Bild für mein Projekt glatter und weniger verrauscht aussieht.",noise,de
135,Zorg ervoor dat deze afbeelding er vloeiender en minder luidruchtig uitziet voor mijn project.,noise,nl
136,Can you help brighten up this photo and improve its details?,LLIE,en
137,Pouvez-vous nous aider à égayer cette photo et à améliorer ses détails ?,LLIE,fr
138,¿Puedes ayudar a alegrar esta foto y mejorar sus detalles?,LLIE,es
139,"Können Sie helfen, dieses Foto aufzuhellen und seine Details zu verbessern?",LLIE,de
140,Kun jij helpen deze foto op te fleuren en de details ervan te verbeteren?,LLIE,nl
141,The rain in this photo is muting its colors. Can you bring them out and remove the rain?,rain,en
142,La pluie sur cette photo atténue ses couleurs. Pouvez-vous les sortir et enlever la pluie ?,rain,fr
143,La lluvia en esta foto está apagando sus colores. ¿Puedes sacarlos y quitar la lluvia?,rain,es
144,Der Regen auf diesem Foto dämpft seine Farben. Können Sie sie herausholen und den Regen entfernen?,rain,de
145,De regen op deze foto dempt de kleuren. Kun jij ze naar buiten brengen en de regen verwijderen?,rain,nl
146,"Please enhance this childhood birthday photo so the balloons, frosting on the cake, and little gifts on the table are sharp at higher resolution.",SR,en
147,"Veuillez améliorer cette photo d'anniversaire d'enfance afin que les ballons, le glaçage sur le gâteau et les petits cadeaux sur la table soient nets à une résolution plus élevée.",SR,fr
148,"Mejore esta foto de cumpleaños infantil para que los globos, el glaseado del pastel y los pequeños obsequios sobre la mesa queden nítidos en una resolución más alta.",SR,es
149,"Bitte verbessern Sie dieses Geburtstagsfoto aus Ihrer Kindheit, damit die Luftballons, der Zuckerguss auf dem Kuchen und die kleinen Geschenke auf dem Tisch in höherer Auflösung scharf sind.",SR,de
150,"Verbeter deze verjaardagsfoto uit je kindertijd, zodat de ballonnen, het glazuur op de taart en de kleine cadeautjes op tafel scherp zijn in een hogere resolutie.",SR,nl
151,This picture looks too stormy for what I need. Can you make it look clear and vibrant?,rain,en
152,Cette photo semble trop orageuse pour ce dont j'ai besoin. Pouvez-vous le rendre clair et dynamique ?,rain,fr
153,Esta imagen parece demasiado tormentosa para lo que necesito. ¿Puedes hacer que parezca claro y vibrante?,rain,es
154,"Dieses Bild sieht für das, was ich brauche, zu stürmisch aus. Können Sie es klar und lebendig erscheinen lassen?",rain,de
155,Deze foto ziet er te stormachtig uit voor wat ik nodig heb. Kun jij het er helder en levendig uit laten zien?,rain,nl
156,The raindrops are overwhelming the subject of the photo. Can you remove them?,rain,en
157,Les gouttes de pluie submergent le sujet de la photo. Pouvez-vous les supprimer ?,rain,fr
158,Las gotas de lluvia abruman el tema de la foto. ¿Puedes eliminarlos?,rain,es
159,Die Regentropfen überwältigen das Motiv des Fotos. Können Sie sie entfernen?,rain,de
160,De regendruppels overweldigen het onderwerp van de foto. Kun je ze verwijderen?,rain,nl
161,"Please enhance this low-resolution astronaut photo so the suit details, helmet visor reflections, and background stars appear sharp.",SR,en
162,"Veuillez améliorer cette photo d'astronaute basse résolution afin que les détails de la combinaison, les reflets de la visière du casque et les étoiles d'arrière-plan apparaissent nets.",SR,fr
163,"Mejore esta fotografía de astronauta de baja resolución para que los detalles del traje, los reflejos de la visera del casco y las estrellas del fondo aparezcan nítidos.",SR,es
164,"Bitte verbessern Sie dieses niedrigaufgelöste Astronautenfoto, damit die Anzugdetails, Helmvisierreflexionen und Hintergrundsterne scharf erscheinen.",SR,de
165,"Verbeter deze astronautenfoto met een lage resolutie, zodat de details van het pak, de reflecties van het helmvizier en de achtergrondsterren scherp verschijnen.",SR,nl
166,Could you enhance the exposure to improve the clarity of this photo?,LLIE,en
167,Pourriez-vous augmenter l'exposition pour améliorer la clarté de cette photo ?,LLIE,fr
168,¿Podrías mejorar la exposición para mejorar la claridad de esta foto?,LLIE,es
169,"Könnten Sie die Belichtung erhöhen, um die Klarheit dieses Fotos zu verbessern?",LLIE,de
170,Kunt u de belichting verbeteren om de helderheid van deze foto te verbeteren?,LLIE,nl
171,Can you make this dark photo clearer by brightening it up?,LLIE,en
172,Pouvez-vous rendre cette photo sombre plus claire en l'éclaircissant ?,LLIE,fr
173,¿Puedes aclarar esta foto oscura iluminándola?,LLIE,es
174,"Können Sie dieses dunkle Foto klarer machen, indem Sie es aufhellen?",LLIE,de
175,Kun jij deze donkere foto duidelijker maken door hem lichter te maken?,LLIE,nl
176,Can you remove the atmospheric haze and improve the contrast in this photo?,haze,en
177,Pouvez-vous supprimer la brume atmosphérique et améliorer le contraste sur cette photo ?,haze,fr
178,¿Puedes eliminar la neblina atmosférica y mejorar el contraste en esta foto?,haze,es
179,Können Sie den atmosphärischen Dunst entfernen und den Kontrast in diesem Foto verbessern?,haze,de
180,Kun jij de atmosferische waas verwijderen en het contrast op deze foto verbeteren?,haze,nl
181,The graininess in this picture makes it look unpolished. Can you fix it?,noise,en
182,Le grain de cette image lui donne un aspect non poli. Pouvez-vous le réparer ?,noise,fr
183,El granulado de esta imagen hace que parezca sin pulir. ¿Puedes arreglarlo?,noise,es
184,Die Körnigkeit dieses Bildes lässt es unpoliert wirken. Können Sie es reparieren?,noise,de
185,Door de korreligheid op deze foto ziet het er ongepolijst uit. Kun je het repareren?,noise,nl
186,The haze is obscuring the details in this image. Can you improve it?,haze,en
187,La brume obscurcit les détails de cette image. Pouvez-vous l'améliorer ?,haze,fr
188,La neblina oscurece los detalles de esta imagen. ¿Puedes mejorarlo?,haze,es
189,Der Dunst verdeckt die Details in diesem Bild. Können Sie es verbessern?,haze,de
190,De nevel verdoezelt de details in deze afbeelding. Kun je het verbeteren?,haze,nl
191,The raindrops are dulling the focus of this photo. Can you remove them for me?,rain,en
192,Les gouttes de pluie obscurcissent la mise au point de cette photo. Pouvez-vous les supprimer pour moi ?,rain,fr
193,Las gotas de lluvia están opacando el foco de esta foto. ¿Puedes eliminarlos por mí?,rain,es
194,Die Regentropfen trüben den Fokus dieses Fotos. Können Sie sie für mich entfernen?,rain,de
195,De regendruppels vertroebelen de focus van deze foto. Kunt u ze voor mij verwijderen?,rain,nl
196,"This image is blurry, can you help me sharpen it and make it clear?",blur,en
197,"Cette image est floue, pouvez-vous m'aider à la rendre plus nette et plus claire ?",blur,fr
198,"Esta imagen está borrosa, ¿puedes ayudarme a enfocarla y aclararla?",blur,es
199,"Dieses Bild ist verschwommen. Können Sie mir helfen, es zu schärfen und klarer zu machen?",blur,de
200,Deze afbeelding is wazig. Kunt u mij helpen deze scherper en duidelijker te maken?,blur,nl
201,This photo is full of rain. Can you clean it up and make it look bright?,rain,en
202,Cette photo est pleine de pluie. Pouvez-vous le nettoyer et lui donner un aspect brillant ?,rain,fr
203,Esta foto está llena de lluvia. ¿Puedes limpiarlo y hacerlo lucir brillante?,rain,es
204,Dieses Foto ist voller Regen. Kannst du es aufräumen und es strahlend aussehen lassen?,rain,de
205,Deze foto staat vol met regen. Kun jij het opruimen en het er helder uit laten zien?,rain,nl
206,The raindrops are muting the details in this picture. Can you enhance them?,rain,en
207,Les gouttes de pluie atténuent les détails de cette image. Pouvez-vous les améliorer ?,rain,fr
208,Las gotas de lluvia están silenciando los detalles de esta imagen. ¿Puedes mejorarlos?,rain,es
209,Die Regentropfen verdecken die Details auf diesem Bild. Können Sie sie verbessern?,rain,de
210,De regendruppels dempen de details op deze foto. Kun jij ze versterken?,rain,nl
211,Please upscale this travel picture of the cathedral so the stained glass windows are detailed enough for a poster print.,SR,en
212,Veuillez améliorer cette photo de voyage de la cathédrale afin que les vitraux soient suffisamment détaillés pour une impression d'affiche.,SR,fr
213,Mejore esta imagen de viaje de la catedral para que las vidrieras sean lo suficientemente detalladas como para imprimir un póster.,SR,es
214,"Bitte skalieren Sie dieses Reisebild der Kathedrale hoch, sodass die Buntglasfenster detailliert genug für einen Posterdruck sind.",SR,de
215,"Schaal deze reisfoto van de kathedraal op, zodat de glas-in-loodramen gedetailleerd genoeg zijn voor een posterafdruk.",SR,nl
216,"Please upscale this blurry old concert photo so the singer’s face, microphone, and background lights are visible.",SR,en
217,"Veuillez améliorer cette vieille photo de concert floue afin que le visage, le microphone et l'éclairage d'arrière-plan du chanteur soient visibles.",SR,fr
218,"Mejore esta antigua foto borrosa del concierto para que la cara, el micrófono y las luces de fondo del cantante sean visibles.",SR,es
219,"Bitte skalieren Sie dieses verschwommene alte Konzertfoto hoch, sodass das Gesicht, das Mikrofon und die Hintergrundbeleuchtung des Sängers sichtbar sind.",SR,de
220,"Schaal deze wazige oude concertfoto op, zodat het gezicht, de microfoon en de achtergrondverlichting van de zanger zichtbaar zijn.",SR,nl
221,Can you clear up the haze in this image and make it sharper?,haze,en
222,Pouvez-vous dissiper la brume de cette image et la rendre plus nette ?,haze,fr
223,¿Puedes aclarar la neblina en esta imagen y hacerla más nítida?,haze,es
224,Können Sie den Dunst in diesem Bild beseitigen und es schärfer machen?,haze,de
225,Kun jij de waas in deze afbeelding ophelderen en scherper maken?,haze,nl
226,The haziness is making this picture look unprofessional. Can you fix that?,haze,en
227,Le flou rend cette image peu professionnelle. Pouvez-vous réparer ça ?,haze,fr
228,La neblina hace que esta imagen parezca poco profesional. ¿Puedes arreglar eso?,haze,es
229,Die Unschärfe lässt dieses Bild unprofessionell wirken. Können Sie das beheben?,haze,de
230,Door de wazigheid ziet deze foto er onprofessioneel uit. Kun je dat oplossen?,haze,nl
231,"This picture needs to look crisp and clear, but the haze is ruining it. Can you help?",haze,en
232,"Cette image doit paraître nette et claire, mais la brume la gâche. Pouvez-vous aider ?",haze,fr
233,"Esta imagen debe verse nítida y clara, pero la neblina la está arruinando. ¿Puedes ayudar?",haze,es
234,"Dieses Bild muss scharf und klar aussehen, aber der Dunst ruiniert es. Können Sie helfen?",haze,de
235,"Deze foto moet er helder en duidelijk uitzien, maar de nevel verpest de foto. Kunt u helpen?",haze,nl
236,This photo has a light haze over it. Can you remove it and make it sharper?,haze,en
237,Cette photo est recouverte d'une légère brume. Pouvez-vous l'enlever et le rendre plus net ?,haze,fr
238,Esta foto tiene una ligera neblina sobre ella. ¿Puedes quitarlo y hacerlo más afilado?,haze,es
239,Über diesem Foto liegt ein leichter Schleier. Können Sie es entfernen und schärfer machen?,haze,de
240,Deze foto heeft een lichte waas erover. Kun je het verwijderen en scherper maken?,haze,nl
241,I need this picture cleaned up; the grain is ruining its quality.,noise,en
242,J'ai besoin que cette image soit nettoyée ; le grain ruine sa qualité.,noise,fr
243,Necesito que limpien esta imagen; el grano está arruinando su calidad.,noise,es
244,Ich muss dieses Bild aufräumen; Das Getreide ruiniert seine Qualität.,noise,de
245,Ik wil dat deze foto wordt opgeschoond; het graan verpest zijn kwaliteit.,noise,nl
246,The haziness is reducing the photo’s impact. Can you clear it up for me?,haze,en
247,Le flou réduit l’impact de la photo. Pouvez-vous m'éclairer ?,haze,fr
248,La neblina está reduciendo el impacto de la foto. ¿Puedes aclararmelo?,haze,es
249,Die Unschärfe mindert die Wirkung des Fotos. Können Sie es für mich klären?,haze,de
250,De wazigheid vermindert de impact van de foto. Kunt u het voor mij ophelderen?,haze,nl
251,Can you reduce the visual noise in this image so it looks clearer?,noise,en
252,Pouvez-vous réduire le bruit visuel dans cette image pour qu'elle paraisse plus claire ?,noise,fr
253,¿Puedes reducir el ruido visual en esta imagen para que se vea más clara?,noise,es
254,"Können Sie das visuelle Rauschen in diesem Bild reduzieren, damit es klarer aussieht?",noise,de
255,"Kunt u de visuele ruis in deze afbeelding verminderen, zodat deze er duidelijker uitziet?",noise,nl
256,Could you make this blurry zoo photo sharper so the tiger’s whiskers and fur patterns stand out clearly?,SR,en
257,Pourriez-vous rendre cette photo floue du zoo plus nette afin que les moustaches et les motifs de la fourrure du tigre ressortent clairement ?,SR,fr
258,¿Podrías hacer que esta foto borrosa del zoológico sea más nítida para que los bigotes y los patrones del pelaje del tigre se destaquen claramente?,SR,es
259,"Könnten Sie dieses verschwommene Zoofoto schärfer machen, damit die Schnurrhaare und Fellmuster des Tigers deutlich hervorstechen?",SR,de
260,"Kun jij deze onscherpe dierentuinfoto scherper maken, zodat de snorharen en vachtpatronen van de tijger duidelijk opvallen?",SR,nl
261,Please increase the visibility of the diver exploring the reef wall.,UWIR,en
262,Veuillez augmenter la visibilité du plongeur explorant le mur de récif.,UWIR,fr
263,Aumente la visibilidad del buzo que explora la pared del arrecife.,UWIR,es
264,"Bitte erhöhen Sie die Sichtbarkeit des Tauchers, der die Riffwand erkundet.",UWIR,de
265,Vergroot alstublieft de zichtbaarheid van de duiker die de rifwand verkent.,UWIR,nl
266,Can you fix the blurry parts of this photo and enhance the clarity?,blur,en
267,Pouvez-vous corriger les parties floues de cette photo et améliorer la clarté ?,blur,fr
268,¿Puedes arreglar las partes borrosas de esta foto y mejorar la claridad?,blur,es
269,Können Sie die verschwommenen Teile dieses Fotos korrigieren und die Klarheit verbessern?,blur,de
270,Kun jij de wazige delen van deze foto corrigeren en de helderheid verbeteren?,blur,nl
271,Can you make this picture look cleaner by removing the noise?,noise,en
272,Pouvez-vous rendre cette image plus nette en supprimant le bruit ?,noise,fr
273,¿Puedes hacer que esta imagen luzca más limpia eliminando el ruido?,noise,es
274,"Können Sie dieses Bild sauberer aussehen lassen, indem Sie das Rauschen entfernen?",noise,de
275,Kun je deze foto er schoner uit laten zien door de ruis te verwijderen?,noise,nl
276,"Could you enhance this blurry wedding dance photo so the movement, clothing textures, and decorations are sharp?",SR,en
277,"Pourriez-vous améliorer cette photo floue de danse de mariage afin que le mouvement, les textures des vêtements et les décorations soient nets ?",SR,fr
278,"¿Podrías mejorar esta foto borrosa del baile de bodas para que el movimiento, las texturas de la ropa y las decoraciones sean nítidas?",SR,es
279,"Könnten Sie dieses verschwommene Hochzeitstanzfoto so verbessern, dass die Bewegungen, Kleidungstexturen und Dekorationen scharf sind?",SR,de
280,"Kun je deze onscherpe foto van de huwelijksdans verbeteren, zodat de bewegingen, kledingtexturen en versieringen scherp zijn?",SR,nl
281,The photo came out grainy. Can you denoise it for me?,noise,en
282,La photo est sortie granuleuse. Pouvez-vous le débruiter pour moi ?,noise,fr
283,La foto salió granulada. ¿Puedes eliminarlo por mí?,noise,es
284,Das Foto war körnig. Kannst du es für mich entlarven?,noise,de
285,De foto kwam er korrelig uit. Kun je het voor mij denoiseren?,noise,nl
286,Can you improve the details and brighten this photo?,LLIE,en
287,Pouvez-vous améliorer les détails et éclaircir cette photo ?,LLIE,fr
288,¿Puedes mejorar los detalles y alegrar esta foto?,LLIE,es
289,Können Sie die Details verbessern und dieses Foto aufhellen?,LLIE,de
290,Kun jij de details verbeteren en deze foto helderder maken?,LLIE,nl
291,The foggy look is dulling the beauty of this photo. Can you make it crisper?,haze,en
292,L'aspect brumeux ternit la beauté de cette photo. Pouvez-vous le rendre plus croustillant ?,haze,fr
293,La apariencia brumosa opaca la belleza de esta foto. ¿Puedes hacerlo más crujiente?,haze,es
294,Der neblige Look trübt die Schönheit dieses Fotos. Kannst du es knuspriger machen?,haze,de
295,De mistige uitstraling vervaagt de schoonheid van deze foto. Kun je het knapperiger maken?,haze,nl
296,The rain effects in this picture are too noticeable. Can you make it look smooth and clear?,rain,en
297,Les effets de pluie sur cette photo sont trop visibles. Pouvez-vous lui donner un aspect lisse et clair ?,rain,fr
298,Los efectos de la lluvia en esta imagen son demasiado notorios. ¿Puedes hacer que se vea suave y claro?,rain,es
299,Die Regeneffekte in diesem Bild sind zu auffällig. Können Sie es glatt und klar aussehen lassen?,rain,de
300,De regeneffecten op deze foto zijn te opvallend. Kun jij het er glad en helder uit laten zien?,rain,nl
301,Make the surface reflections more noticeable without distracting from the coral below.,UWIR,en
302,Rendre les reflets de la surface plus visibles sans détourner l'attention du corail en dessous.,UWIR,fr
303,Haga que los reflejos de la superficie sean más notorios sin distraer la atención del coral que se encuentra debajo.,UWIR,es
304,"Machen Sie die Oberflächenreflexionen deutlicher, ohne von der darunter liegenden Koralle abzulenken.",UWIR,de
305,Maak de oppervlaktereflecties beter zichtbaar zonder af te leiden van het koraal eronder.,UWIR,nl
306,Can you help with the exposure in this image and make it clearer?,LLIE,en
